artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_top10
Lil Uzi Vert,Baby Pluto,7hav1MHURQf5SAoPk0egqh,72,0.772,0.634,10,-6.101,0,0.212,0.0,0.43200000000000005,0.6709999999999999,160.05200000000002,210261,4,1
Selena Gomez,Lose You To Love Me,4l0Mvzj72xxOpRrp6h8nHi,84,0.488,0.34299999999999997,4,-8.985,1,0.0436,0.0,0.21,0.0978,102.819,206459,4,1
Lil Uzi Vert,Lo Mein,6CUP2khYzdphXebxVTfPE3,71,0.855,0.6759999999999999,1,-5.736000000000001,1,0.325,0.0,0.14400000000000002,0.509,133.082,195299,4,1
Lizzo,Good as Hell,6KgBpzTuTRPebChN0VTyzV,74,0.682,0.919,0,-3.18,0,0.0875,0.0,0.442,0.535,95.98200000000001,159736,4,1
Lil Uzi Vert,Silly Watch,5egD7A5x9AHdVO2fMo3Wbo,68,0.903,0.535,8,-6.2379999999999995,1,0.28600000000000003,0.0,0.0851,0.157,130.11700000000002,195692,4,1
Lil Uzi Vert,Futsal Shuffle 2020,2Ec33AVlkTTq8BHFgBTdQs,72,0.8809999999999999,0.457,7,-8.191,0,0.156,0.0,0.231,0.29600000000000004,136.97,198913,4,1
Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,85,0.759,0.54,9,-6.039,0,0.0287,0.0,0.0945,0.75,116.947,190960,4,1
Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,88,0.701,0.425,7,-10.965,1,0.375,0.13,0.1,0.562,135.128,194088,4,1
BTS,ON,2QyuXBcV1LJ2rq01KhreMF,83,0.583,0.8170000000000001,9,-5.146,0,0.0987,0.0,0.33799999999999997,0.43799999999999994,105.936,246381,4,1
Jonas Brothers,Sucker,22vgEDb5hykfaTwLuskFGD,83,0.8420000000000001,0.7340000000000001,1,-5.065,0,0.0588,0.0,0.106,0.9520000000000001,137.958,181027,4,1
Ed Sheeran,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,83,0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0,0.0894,0.8420000000000001,101.956,219947,4,1
Lizzo,Truth Hurts,3HWzoMvoF3TQfYg4UPszDq,79,0.715,0.624,4,-3.0460000000000003,0,0.114,0.0,0.12300000000000001,0.41200000000000003,158.08700000000002,173325,4,1
Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,84,0.474,0.631,5,-5.8839999999999995,0,0.34299999999999997,0.0,0.132,0.425,180.051,189323,4,1
Lil Nas X,Panini,1000nHvUdawXuUHgBod4Wv,74,0.703,0.594,5,-6.146,0,0.0752,0.0,0.12300000000000001,0.475,153.84799999999998,114893,4,1
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,79,0.499,0.8,1,-2.665,0,0.0502,0.0,0.147,0.272,139.91899999999998,229573,4,1
Khalid,Talk,0rTV5WefWd1J3OwIheTzxM,74,0.9,0.4,0,-8.443,1,0.124,0.0,0.0876,0.33799999999999997,136.001,197487,4,1
Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,79,0.359,0.5429999999999999,7,-7.582000000000001,1,0.0919,1.58e-05,0.11800000000000001,0.45299999999999996,68.53399999999999,221307,4,1
Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,83,0.878,0.619,6,-5.56,1,0.102,0.0,0.113,0.639,136.041,157067,4,1
DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,79,0.8759999999999999,0.662,2,-6.482,0,0.426,0.0,0.127,0.8440000000000001,75.445,163320,4,1
Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,83,0.745,0.642,7,-6.257000000000001,0,0.287,0.0,0.0658,0.226,179.97400000000002,131240,4,1
Eminem,Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,77,0.8759999999999999,0.7859999999999999,10,-4.8839999999999995,0,0.306,0.0,0.127,0.575,153.06799999999998,244679,4,1
Khalid,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,75,0.708,0.648,6,-5.626,1,0.0449,0.0,0.134,0.33799999999999997,143.955,201707,4,1
Lil Wayne,Uproar,3wScL5W8H40zzCKN0atfBk,71,0.743,0.87,1,-2.188,1,0.212,0.0,0.299,0.884,99.079,194184,4,1
Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,78,0.7290000000000001,0.625,4,-5.266,1,0.0315,0.009859999999999999,0.248,0.261,146.034,183907,4,1
Cardi B,I Like It,58q2HKrzhC3ozto2nDdN4z,82,0.816,0.726,5,-3.998,0,0.129,0.0,0.37200000000000005,0.65,136.048,253390,4,1
Kodak Black,ZEZE (feat. Travis Scott & Offset),0FZ4Dmg8jJJAPJnvBIzD9z,80,0.861,0.603,8,-5.787999999999999,0,0.17600000000000002,0.0,0.0924,0.504,98.04299999999999,228760,4,1
Bad Bunny,MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,79,0.8170000000000001,0.539,6,-6.349,0,0.0621,0.000496,0.099,0.158,97.06200000000001,210368,4,1
Post Malone,Better Now,7dt6x5M1jzdTEt8oCbisTK,84,0.68,0.578,10,-5.803999999999999,1,0.04,0.0,0.135,0.341,145.03799999999998,231267,4,1
5 Seconds of Summer,Youngblood,2iUXsYOEPhVqEBwsqP70rE,82,0.596,0.8540000000000001,7,-5.114,0,0.46299999999999997,0.0,0.124,0.152,120.274,203418,4,1
Ariana Grande,"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,84,0.7170000000000001,0.653,1,-5.6339999999999995,1,0.0658,0.0,0.10099999999999999,0.41200000000000003,106.96600000000001,207320,4,1
Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,82,0.897,0.662,1,-6.903,0,0.292,0.0,0.534,0.389,112.51100000000001,145543,4,1
Maroon 5,Girls Like You (feat. Cardi B),6V1bu6o1Yo5ZXnsCJU8Ovk,69,0.851,0.541,0,-6.825,1,0.0505,0.0,0.13,0.44799999999999995,124.959,235545,4,1
Blueface,Thotiana,5GBuCHuPKx6UC7VsSPK0t3,69,0.9059999999999999,0.382,10,-12.89,0,0.26899999999999996,0.0,0.113,0.391,104.025,129264,4,1
BTS,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,84,0.645,0.862,11,-4.757,0,0.0965,0.0,0.192,0.7979999999999999,119.991,229773,4,1
Ariana Grande,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,79,0.726,0.5539999999999999,5,-5.29,0,0.0917,0.0,0.106,0.335,169.99900000000002,190440,4,1
Cardi B,Please Me,0PG9fbaaHFHfre2gUVo7AN,76,0.747,0.57,1,-6.711,1,0.081,0.0,0.0832,0.65,133.99200000000002,200890,4,1
Logic,Homicide (feat. Eminem),7M2tXmeS15NAzEn7ABFeBg,74,0.6940000000000001,0.759,10,-5.667000000000001,0,0.39799999999999996,0.0,0.16699999999999998,0.77,140.055,245387,4,1
benny blanco,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,80,0.56,0.68,6,-7.648,0,0.321,0.0,0.11599999999999999,0.319,89.391,173800,4,1
J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,82,0.8370000000000001,0.364,8,-11.713,1,0.276,0.0,0.271,0.46299999999999997,123.984,213594,4,1
Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,88,0.8340000000000001,0.73,8,-3.714,1,0.222,0.0,0.124,0.446,155.00799999999998,312820,4,1
Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom,83,0.579,0.904,5,-2.7289999999999996,1,0.0618,0.0,0.064,0.6809999999999999,82.014,190947,4,1
Lady Gaga,Shallow,2VxeLyX666F8uXCJ0dZF8B,85,0.5720000000000001,0.385,7,-6.362,1,0.0308,0.0,0.231,0.32299999999999995,95.79899999999999,215733,4,1
Meek Mill,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,81,0.889,0.496,4,-6.365,0,0.0905,0.0,0.252,0.544,86.00299999999999,180522,4,1
Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99,85,0.687,0.792,5,-2.7489999999999997,1,0.0452,0.0,0.16699999999999998,0.6709999999999999,100.015,214290,4,1
