artist,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,is_top10
Winona Oak,Piano In The Sky,5nCrHjb9e3zWDL6Svvxxwl,55,0.5,0.28,7,-10.764,0,0.0404,2.6e-06,0.102,0.0832,92.457,190253,4,0
Nick Wilson,Built For This,7vA2Np8N7Yu1KfTQ43oLwF,40,0.528,0.402,2,-7.604,1,0.0554,0.0,0.23,0.497,89.886,155806,4,0
Lucian,Fools,6OUbGWzqJuCI6xBq6RqhSi,36,0.548,0.526,10,-6.592,0,0.0685,0.235,0.317,0.314,164.987,181240,4,0
Cosha,No Kink in the Wire,50gS4mK4dafGDtNrAbj9Sz,30,0.674,0.666,0,-10.628,1,0.0732,0.218,0.103,0.602,91.936,330002,4,0
Sean Nicholas Savage,Years From Tonight,2m5jxTc8QMPFvq9J5lFXd9,32,0.241,0.203,4,-11.833,1,0.0308,0.0,0.122,0.196,164.092,219936,5,0
LeyeT,One Love,7sFmtcdp8hJoSBdxaRpuhw,11,0.461,0.161,11,-10.001,1,0.033,0.0,0.0864,0.55,80.231,151313,4,0
Scarlet Pleasure,Thunder,6qCheVIWD2ORY01tan4da5,35,0.78,0.745,2,-5.969,0,0.0941,1.23e-06,0.173,0.763,171.984,168585,4,0
Teflon Sega,Used,74oGnbl5l7oVsuMtZiAD2l,35,0.506,0.467,11,-9.546,1,0.034,0.0,0.119,0.0451,82.069,234146,4,0
Foley,Rendezvous,3PReGhB0VqBcjqTpRrWdF2,35,0.745,0.577,11,-6.282,0,0.0975,0.000431,0.101,0.694,109.974,192836,4,0
Hether,Twinkle,2Eqbp4tBXu1E4QT6DB9JjR,48,0.663,0.459,8,-9.143,1,0.0365,0.456,0.109,0.426,140.166,194398,4,0
Marshmello,Alone,3MEYFivt6bilQ9q9mFWZ4g,75,0.631,0.953,2,-3.739,1,0.0343,0.0155,0.108,0.422,141.99,273803,4,0
Norquay,Shalalala Boom,2rSUBE2e4xXnjcJOJbTNzb,1,0.572,0.847,7,-6.273,1,0.0527,0.0782,0.121,0.298,96.003,150990,4,0
Markus Brückner,Too Far,4sjgCGq0PmMK1NeoZ4rIdU,23,0.492,0.498,1,-7.46,1,0.0281,0.00577,0.153,0.141,83.993,272147,4,0
Tessa Rae,Body,17dpOnKBuFWiaz5vIKBv5N,38,0.72,0.631,7,-7.929,1,0.0401,0.623,0.116,0.796,120.659,160009,4,0
keaton dekker,GG,5To3uMF4hcAmTg6VwMvzOD,19,0.638,0.627,7,-7.569,1,0.0521,0.542,0.168,0.362,117.843,182073,4,0
Kiol,Ciao,3NjEMidlbA10ib1EkA8umm,37,0.569,0.69,1,-9.267,0,0.0273,0.037,0.368,0.207,120.042,229253,4,0
Jamila Woods,SULA (Hardcover),43xBou0k59JFbi3qa8JpIm,49,0.57,0.906,1,-6.963,1,0.365,0.00596,0.1,0.552,119.329,180067,5,0
Benji Lewis,Everything's Alright,29vnb99n3kT8oV2OBsvDCl,38,0.921,0.249,2,-9.0,1,0.0755,0.192,0.0809,0.376,99.989,173390,4,0
SIXN,Medisin,1AL83ps1pIUxOQWEfY4RtM,54,0.57,0.803,8,-6.233,1,0.0883,0.0,0.792,0.321,88.051,135115,4,0
Jacob Banks,Stranger,07xy4tfT1NDeZ0Dtqe2Qau,53,0.383,0.292,11,-11.005,1,0.0766,3.65e-06,0.257,0.279,102.12,162485,3,0
Arva,Bueno,09hicVg39NVKjGpIQ4sy1s,42,0.803,0.527,9,-7.393,1,0.244,2.67e-05,0.103,0.646,155.064,161003,4,0
ÄTNA,Grinding,0ICPu4UQRmkejCttlXInFh,45,0.372,0.721,11,-5.39,0,0.0411,0.000163,0.168,0.506,117.614,179251,4,0
Rodes Rollins,Joe,5O9ioq6AevhpqRBL6iiFYK,33,0.524,0.736,0,-4.671,1,0.0257,0.0182,0.155,0.517,159.762,196107,4,0
X Lovers,LOVE (feat. Young K),3PYAjl8HI8829oVVAfrq4q,48,0.747,0.408,8,-4.926,1,0.0712,0.0,0.0536,0.573,150.055,155641,4,0
Fenne Lily,Birthday,3MlA3b8KVJuratU2qdW4Yb,51,0.275,0.316,8,-8.774,1,0.0282,0.0101,0.114,0.341,166.024,270600,4,0
Bullion,Yawn,67xLmsmuyjjHj6jof81JnL,39,0.64,0.668,7,-10.412,1,0.0295,0.875,0.14,0.764,102.107,225532,4,0
Black Honey,Run For Cover,7fkhWtexVuWy5O5X5XQT2N,47,0.446,0.945,6,-4.37,0,0.118,0.000378,0.364,0.413,168.047,177733,4,0
Future Jr.,Sounds Like Rain,1QmJBnAUDWQZKyTXato1ah,29,0.649,0.613,11,-8.242,0,0.0465,0.000215,0.227,0.384,135.997,182521,4,0
Bird and Byron,Life Is a Bore,3I9SE4PDw3fcfaIshtwW42,33,0.485,0.917,11,-1.455,1,0.0735,0.0,0.12,0.692,149.858,179710,4,0
Marika Hackman,Realiti,7JClJ8WmR4Dz0BrwW1bwdL,43,0.401,0.295,5,-10.624,0,0.0305,0.00096,0.0978,0.166,99.622,186827,4,0
Great Mountain Fire,What You Want Me to Be,3ZqBrKxs9lZ2xXyTkgsHzD,26,0.73,0.744,7,-7.418,1,0.109,0.00773,0.112,0.824,104.888,211453,4,0
Rachel Chinouriri,Give Me A Reason,39ZP9fSLcylmB2Hgi5ZvRu,33,0.66,0.468,7,-5.81,0,0.0343,2.54e-05,0.132,0.399,110.134,200512,3,0
MAX RAD,Unhingeable Man,5GqehCKpo0CqqS7v27Pzr3,30,0.733,0.609,9,-7.436,0,0.0937,0.0959,0.124,0.171,90.014,228183,4,0
Fairhazel,See You Tomorrow,6XxLCDrjv9NqVOaU7qNkBH,21,0.496,0.787,4,-8.362,1,0.101,0.0,0.396,0.558,125.018,182625,4,0
Cajsa Siik,This is Not Malibu,2FbcIMRvixHVAjEksQtiMI,21,0.792,0.136,9,-13.109,0,0.0551,1.45e-05,0.0824,0.385,119.971,224471,4,0
Novaa,In Vitro,7EzbsfsX4tfQ945h023A0k,48,0.536,0.45,0,-11.771,1,0.0344,0.00722,0.151,0.46,175.021,145670,3,0
Martha Hill,Landslide,4raIslI0ZZD0NDVmw51jEO,32,0.71,0.646,11,-7.889,0,0.058,0.0,0.274,0.571,96.016,172817,4,0
Patricia Lalor,I Don’t Know You,0wGS1UIEKTFAtDteZKvTZn,38,0.387,0.132,9,-11.94,0,0.0361,0.00292,0.104,0.0878,118.07,176509,4,0
Fintan,Better Broken,5aRmwP3PJ7kQvnyrCevzvr,46,0.717,0.567,4,-6.749,1,0.0412,0.00025,0.0963,0.475,80.015,192176,4,0
Julian Lamadrid,Patience,0t0QEf4OY8h2rJhIZGLKWc,34,0.89,0.494,0,-6.102,1,0.107,0.192,0.108,0.62,120.031,210080,4,0
Sunken,Jupiter,4XdHw8OJ4LyVNKqXalr0iT,33,0.618,0.576,0,-9.412,0,0.035,0.195,0.0977,0.343,138.024,282647,3,0
George Moir,Lonely,4FnSCrqa0lzbJUF1TRoCkQ,36,0.743,0.391,3,-7.364,1,0.0575,0.0,0.173,0.395,100.02,185641,4,0
April,Watching You Disappear,5QcZdMoxsvfXkK0TnlF0hn,44,0.378,0.41,2,-9.764,0,0.0757,0.404,0.117,0.32,169.89,195128,4,0
Charles,Easy,3QRXzJDgzUBoiDzax1PKAb,20,0.735,0.343,1,-9.913,0,0.0499,0.0118,0.158,0.382,95.991,224577,4,0
Sophie Blair,Arteries,6Gefo28mC0sUMxvNTCTCY4,19,0.669,0.543,4,-8.859,1,0.127,1.21e-05,0.135,0.164,104.152,265520,4,0
Dava,Papercut,0dSeL5EEhnoYcXFLokeh1i,40,0.783,0.265,9,-9.978,0,0.0316,0.0246,0.255,0.662,105.009,160000,4,0
Rainsford,Oh My God,6qVAkVJIhJZZKLOArZIa0v,31,0.776,0.465,7,-7.891,1,0.046,3.81e-05,0.174,0.464,126.004,210199,4,0
Gaspar Narby,Sleepless (feat. LEES),7vrURZm40GaVRcNnM9jxf8,32,0.609,0.683,2,-5.986,1,0.0537,0.000275,0.155,0.355,97.875,232743,4,0
Havelock,LSD,7sOM7U2rAbU5dQtQnGW0s3,30,0.396,0.749,7,-6.022,0,0.129,0.0,0.115,0.582,82.984,181525,4,0
Lahos,Regrets - better in my bed,3mS3kys2EsMxi88oT9MKyD,34,0.891,0.336,6,-7.773,1,0.221,6.57e-06,0.261,0.405,95.03,123720,4,0
Dead Emerson,Sucker Punch,0y0xWEzCRBY47WRw67r4Ab,42,0.509,0.717,11,-6.409,0,0.0446,0.0,0.0746,0.61,167.957,146000,4,0
Evie Irie,Carry Your Heart,6gQttz1rIuKQptXyoM2IB5,54,0.406,0.471,11,-10.067,1,0.153,4.78e-06,0.122,0.337,92.301,200852,4,0
Oli Hannaford,Trapped in a Maze,6aun4q5E2u9bRzf9P6iGWy,23,0.858,0.386,11,-12.389,0,0.21,0.00151,0.15,0.292,89.967,127500,4,0
sakehands,BLEACH IN MY HUMIDIFIER,6gerTWjHsJSKFV2BU63JZ9,42,0.535,0.284,8,-13.106,1,0.17,0.000134,0.0707,0.369,88.888,191643,4,0
keshi,drunk,3KkVd7Xg0jCAZSOatzQ6Td,68,0.716,0.388,4,-8.433,1,0.0348,0.0,0.0929,0.306,105.086,226772,4,0
Indian Wells,New Ruins,2WL0vbjnNU9ygoIIpfPXEo,30,0.592,0.745,10,-11.642,0,0.0454,0.672,0.101,0.155,119.99,335500,4,0
Richard Orofino,Fall Apart,4norrJnil7Q17uSTbBIMd1,39,0.764,0.549,0,-5.933,1,0.0376,0.0,0.11,0.215,106.03,194000,4,0
Georgia,Feel It,1L11Wk1tb47KpN0acMiqSn,50,0.708,0.655,1,-7.664,1,0.0381,0.112,0.119,0.496,106.983,166500,4,0
Sarah Barrios,Somebody I'm Proud Of,6QbnAZkCSz8SDbrykDpIHj,48,0.751,0.543,10,-6.678,1,0.0397,0.000887,0.121,0.372,99.955,203874,4,0
Passionchild,Truth Is,21VvCowX4Tw9VSAltkNCNs,17,0.485,0.384,0,-9.075,1,0.083,0.000435,0.121,0.152,120.38,165246,4,0
Brevin Kim,car,67T47UzX4SkgsSN5vNI0ec,41,0.602,0.549,7,-7.094,1,0.0288,0.000688,0.177,0.272,84.4,126870,4,0
Kiirstin Marilyn,The Takers,3gjf8vmgbI3fZp0oXRqEMT,23,0.526,0.559,5,-8.587,0,0.0366,0.00211,0.109,0.5,135.939,258833,4,0
Sable Minx,Dank Memes,7pNzQK5fueEyFpRQk6H5qx,24,0.674,0.558,0,-7.708,1,0.0545,0.00326,0.186,0.485,143.089,161119,4,0
Nick Thurl Mavromatis,Hope I'm Still Dreaming,7sVo3u6f0RD2iJoSjdtPBJ,47,0.511,0.67,8,-5.491,1,0.0351,1.06e-06,0.0862,0.208,74.965,182800,4,0
Handyscratch,Isolated Dreams,3UN0JLymifKMqLP6pOp6df,16,0.602,0.388,0,-14.788,0,0.0254,0.784,0.269,0.494,84.766,155668,4,0
Winter Park,Sea Sick,4HwefhngaJzrgTrQtHmkeF,2,0.619,0.779,5,-6.814,1,0.0544,2.69e-06,0.125,0.559,120.009,202106,4,0
The Outview,W.I.W.S.E.,63yIQBg0v9z5PxBssbvuPU,29,0.597,0.402,9,-8.433,0,0.497,0.0,0.127,0.383,201.635,186080,4,0
Rob Nar,One From A Distance,7LsSyA9hwlCUgF3k46ZUqc,21,0.734,0.679,10,-9.54,1,0.04,1.2e-05,0.125,0.949,134.973,222051,4,0
Gabriele Catoni,Our Burden,53SECzggEwWVauCrHsySo0,21,0.274,0.626,1,-5.704,0,0.0277,4.98e-06,0.0789,0.201,95.009,254425,4,0
